ID,Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
471ee652-80db-45ee-89ec-cd8431b74123,2016-10-31 00:00:00,0,0,0,0,2,0,29,0,0,13,0,15,11,7,8,0,19,0,5,0,15,19,5,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-01 00:00:00,0,0,0,0,0,0,0,16,10,16,5,21,9,4,20,20,17,32,0,0,14,10,18,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-02 00:00:00,0,0,0,0,0,0,17,0,0,19,12,5,0,12,9,6,15,0,0,5,5,0,22,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-03 00:00:00,0,0,0,0,0,14,8,0,7,7,7,1,6,6,12,9,8,0,6,22,19,13,14,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-04 00:00:00,0,1,0,0,0,15,9,0,0,0,0,0,0,1,22,0,17,0,0,0,11,6,5,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-07 00:00:00,0,0,0,0,0,0,18,0,0,4,5,6,0,13,18,3,10,5,0,33,11,4,22,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-08 00:00:00,0,0,0,0,0,11,18,0,0,0,0,0,0,5,23,55,4,9,5,0,13,11,5,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-09 00:00:00,0,0,0,0,0,0,23,0,0,0,0,0,0,11,20,9,6,7,13,5,8,21,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-10 00:00:00,0,0,0,1,0,0,21,0,11,21,0,6,7,12,0,0,0,0,0,16,1,16,4,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-11 00:00:00,0,0,0,0,0,17,12,1,0,0,0,0,0,11,13,12,6,12,0,9,61,6,10,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-14 00:00:00,0,0,0,0,0,0,21,0,20,7,13,0,0,11,20,3,5,6,11,0,20,3,4,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-15 00:00:00,0,0,0,0,0,0,25,0,0,0,0,0,0,15,21,2,22,0,0,2,8,17,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-16 00:00:00,0,0,0,0,0,0,23,0,6,11,25,20,44,5,18,3,15,10,13,0,0,8,13,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-17 00:00:00,0,0,0,0,0,10,13,0,0,0,13,0,5,7,16,9,8,11,9,0,11,20,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-18 00:00:00,0,0,0,0,0,7,13,0,0,0,0,0,8,11,18,12,8,0,0,6,11,1,14,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-21 00:00:00,0,0,0,0,0,21,0,0,6,0,27,5,1,8,13,8,3,9,9,0,9,9,12,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-22 00:00:00,0,0,0,0,0,1,0,9,19,4,12,0,0,5,12,13,7,0,0,9,8,14,5,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-25 00:00:00,0,0,0,0,0,0,0,14,27,0,0,9,10,16,0,10,9,12,0,56,0,2,13,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-28 00:00:00,0,0,0,0,0,0,0,18,13,13,0,3,4,3,11,4,4,13,0,6,10,12,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-11-30 00:00:00,0,0,0,0,0,0,5,10,30,10,0,0,0,9,27,10,17,2,5,50,3,6,7,13
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-01 00:00:00,1,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,18,8,11,8,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-02 00:00:00,3,0,0,2,1,0,4,10,5,9,34,32,19,70,24,2,14,2,3,0,4,7,10,4
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-06 00:00:00,0,0,0,0,0,0,0,11,7,26,47,12,0,12,10,0,14,2,6,10,4,11,16,11
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-09 00:00:00,0,0,0,0,0,0,0,12,20,47,10,42,3,9,14,0,7,10,0,42,11,0,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-12 00:00:00,1,0,0,0,0,0,0,19,16,0,5,9,6,6,15,6,3,12,0,7,11,4,13,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-13 00:00:00,0,0,0,0,0,0,0,11,36,29,16,0,2,1,31,0,44,1,2,0,1,3,16,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-14 00:00:00,0,0,0,0,0,1,5,21,16,2,0,8,0,15,9,12,1,0,3,3,7,0,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-15 00:00:00,0,0,0,0,0,0,0,12,13,28,51,6,0,1,0,0,0,0,3,0,7,3,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-16 00:00:00,0,0,0,0,0,0,0,9,13,19,5,2,5,7,8,9,8,6,3,25,37,0,0,18
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-19 00:00:00,0,0,0,1,0,0,0,18,22,21,0,0,0,3,18,15,5,5,2,0,5,5,14,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-20 00:00:00,0,0,0,1,0,0,0,12,24,12,14,28,3,7,6,5,0,0,0,0,4,5,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-22 00:00:00,0,0,0,0,0,0,0,23,6,0,5,0,1,2,12,0,7,0,3,5,0,12,26,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-23 00:00:00,0,0,0,0,0,0,1,13,14,12,8,11,27,6,20,5,10,0,0,41,12,6,9,6
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-26 00:00:00,0,0,0,0,0,0,0,1,17,12,4,0,11,24,1,9,3,18,27,19,1,0,0,16
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-28 00:00:00,0,0,0,0,0,0,0,11,11,19,9,3,5,4,14,4,0,10,0,0,3,3,0,15
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-29 00:00:00,0,0,0,0,0,1,0,28,14,34,4,5,6,15,4,12,0,13,0,6,13,17,22,1
471ee652-80db-45ee-89ec-cd8431b74123,2016-12-30 00:00:00,0,0,0,0,0,0,4,9,19,11,0,8,11,7,12,0,0,6,9,46,31,10,11,0
471ee652-80db-45ee-89ec-cd8431b74123,2017-01-02 00:00:00,1,0,0,0,0,0,0,14,1,6,16,0,0,6,7,0,2,19,6,0,9,1,0,17
471ee652-80db-45ee-89ec-cd8431b74123,2017-01-03 00:00:00,0,0,0,0,0,0,14,15,0,8,4,12,11,6,13,0,19,3,2,0,4,6,5,0
471ee652-80db-45ee-89ec-cd8431b74123,2017-01-04 00:00:00,0,0,1,0,0,0,0,0,18,23,0,0,3,1,8,0,5,0,0,13,1,19,4,14
471ee652-80db-45ee-89ec-cd8431b74123,2017-01-05 00:00:00,1,0,0,0,0,0,0,19,14,2,9,20,7,3,25,9,14,33,0,3,0,0,11,3
